YEAR,MONTH,DISTRICT,PRECTOT
2014,12,Arghakhanchi,19.87
2015,1,Arghakhanchi,44.14
2015,2,Arghakhanchi,13.11
2015,3,Arghakhanchi,109.69
2015,4,Arghakhanchi,61.6
2015,5,Arghakhanchi,52.39
2015,6,Arghakhanchi,266.2
2015,7,Arghakhanchi,349.13
2015,8,Arghakhanchi,438.1
2015,9,Arghakhanchi,76.52
2015,10,Arghakhanchi,34.89
2015,11,Arghakhanchi,0.4
2015,12,Arghakhanchi,0.26
2016,1,Arghakhanchi,5.06
2016,2,Arghakhanchi,5.55
2016,3,Arghakhanchi,25.54
2016,4,Arghakhanchi,2.58
2016,5,Arghakhanchi,143.52
2016,6,Arghakhanchi,225.53
2016,7,Arghakhanchi,641.84
2016,8,Arghakhanchi,165.3
2016,9,Arghakhanchi,249.84
2016,10,Arghakhanchi,113.39
2016,11,Arghakhanchi,0.0
2016,12,Arghakhanchi,0.0
2017,1,Arghakhanchi,20.36
2017,2,Arghakhanchi,0.4
2017,3,Arghakhanchi,37.9
2017,4,Arghakhanchi,40.76
2017,5,Arghakhanchi,106.06
2017,6,Arghakhanchi,172.69
2017,7,Arghakhanchi,468.65
2017,8,Arghakhanchi,476.28
2017,9,Arghakhanchi,224.21
2017,10,Arghakhanchi,22.32
2017,11,Arghakhanchi,0.16
2017,12,Arghakhanchi,0.26
2018,1,Arghakhanchi,0.12
2018,2,Arghakhanchi,0.22
2018,3,Arghakhanchi,0.41
2018,4,Arghakhanchi,2.31
2018,5,Arghakhanchi,4.61
2018,6,Arghakhanchi,6.66
2018,7,Arghakhanchi,19.53
2018,8,Arghakhanchi,14.04
2018,9,Arghakhanchi,3.49
2018,10,Arghakhanchi,0.01
2018,11,Arghakhanchi,0.02
2018,12,Arghakhanchi,0.0
2019,1,Arghakhanchi,1.01
2019,2,Arghakhanchi,3.28
2019,3,Arghakhanchi,0.57
2019,4,Arghakhanchi,1.27
2019,5,Arghakhanchi,2.17
2019,6,Arghakhanchi,5.72
2019,7,Arghakhanchi,17.91
2019,8,Arghakhanchi,6.92
2019,9,Arghakhanchi,12.28
2019,10,Arghakhanchi,0.88
2019,11,Arghakhanchi,0.08
2019,12,Arghakhanchi,1.14
1981,1,Baglung,60.0
1981,2,Baglung,2.31
1981,3,Baglung,29.66
1981,4,Baglung,50.77
1981,5,Baglung,71.09
1981,6,Baglung,111.91
1981,7,Baglung,453.82
1981,8,Baglung,252.68
1981,9,Baglung,123.08
1981,10,Baglung,9.87
1981,11,Baglung,29.16
1981,12,Baglung,0.69
1982,1,Baglung,64.69
1982,2,Baglung,12.07
1982,3,Baglung,24.16
1982,4,Baglung,20.81
1982,5,Baglung,19.07
1982,6,Baglung,75.82
1982,7,Baglung,274.02
1982,8,Baglung,148.15
1982,9,Baglung,162.39
1982,10,Baglung,1.84
1982,11,Baglung,9.05
1982,12,Baglung,6.39
1983,1,Baglung,1.53
1983,2,Baglung,1.53
1983,3,Baglung,12.02
1983,4,Baglung,14.32
1983,5,Baglung,45.03
1983,6,Baglung,85.36
1983,7,Baglung,124.8
1983,8,Baglung,97.66
1983,9,Baglung,99.89
1983,10,Baglung,108.24
1983,11,Baglung,0.0
1983,12,Baglung,6.49
1984,1,Baglung,3.95
1984,2,Baglung,19.35
1984,3,Baglung,2.64
1984,4,Baglung,4.8
1984,5,Baglung,17.79
1984,6,Baglung,146.77
1984,7,Baglung,261.8
1984,8,Baglung,198.35
1984,9,Baglung,219.29
1984,10,Baglung,23.48
1984,11,Baglung,0.28
1984,12,Baglung,4.61
1985,1,Baglung,40.25
1985,2,Baglung,0.18
1985,3,Baglung,0.08
1985,4,Baglung,2.47
1985,5,Baglung,27.93
1985,6,Baglung,36.79
1985,7,Baglung,233.25
1985,8,Baglung,154.25
1985,9,Baglung,187.74
1985,10,Baglung,80.75
1985,11,Baglung,0.0
1985,12,Baglung,6.89
1986,1,Baglung,0.38
1986,2,Baglung,12.65
1986,3,Baglung,3.5
1986,4,Baglung,9.95
1986,5,Baglung,20.78
1986,6,Baglung,121.38
1986,7,Baglung,230.7
1986,8,Baglung,74.49
1986,9,Baglung,60.62
1986,10,Baglung,25.05
1986,11,Baglung,0.37
1986,12,Baglung,29.81
1987,1,Baglung,9.45
1987,2,Baglung,3.39
1987,3,Baglung,5.73
1987,4,Baglung,3.18
1987,5,Baglung,25.38
1987,6,Baglung,14.83
1987,7,Baglung,246.37
1987,8,Baglung,186.58
1987,9,Baglung,158.16
1987,10,Baglung,101.03
